wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (179214.6334999994141981 2503575.17510000057518482),E0000004068,9960103,,高雄捷運信義國小站_出入口2,高捷信義國小站_出入口2,202205,,,TM2
Point (179135.42489999940153211 2503582.61590000055730343),E0000004065,9960103,,高雄捷運信義國小站_出入口1,高捷信義國小站_出入口1,202205,,,TM2
Point (178273.83009999903151765 2503588.55650000041350722),E0000004094,9960103,,高雄捷運美麗島站_出入口3,高捷美麗島站_出入口3,202205,,,TM2
Point (178209.87270000012358651 2503592.87690000096336007),E0000004097,9960103,,高雄捷運美麗島站_出入口2,高捷美麗島站_出入口2,202205,,,TM2
Point (178472.38370000111171976 2503600.62769999913871288),E0000004100,9960103,,高雄捷運美麗島站_出入口6,高捷美麗島站_出入口6,202205,,,TM2
Point (178406.40550000019720756 2503605.94810000061988831),E0000004101,9960103,,高雄捷運美麗島站_出入口5,高捷美麗島站_出入口5,202205,,,TM2
Point (178243.5588999988976866 2503627.620299999602139),E0000005852,9960103,,"高雄捷運美麗島站_O5,R10","高捷美麗島站_O5,R10",202205,高雄市新興區中山一路115號,,TM2
Point (178474.05809999970369972 2503632.4907000008970499),E0000004103,9960103,,高雄捷運美麗島站_出入口8,高捷美麗島站_出入口8,202205,,,TM2
Point (178416.29509999891160987 2503637.53110000025480986),E0000004102,9960103,,高雄捷運美麗島站_出入口7,高捷美麗島站_出入口7,202205,,,TM2
Point (178198.27550000112387352 2503668.00410000141710043),E0000004096,9960103,,高雄捷運美麗島站_出入口1,高捷美麗島站_出入口1,202205,,,TM2
Point (178284.04169999994337559 2503673.84469999885186553),E0000004095,9960103,,高雄捷運美麗島站_出入口4,高捷美麗島站_出入口4,202205,,,TM2
Point (178271.09989999933168292 2503732.75030000042170286),E0000004099,9960103,,高雄捷運美麗島站_出入口10,高捷美麗島站_出入口10,202205,,,TM2
Point (178236.86950000113574788 2503735.7907000002451241),E0000004098,9960103,,高雄捷運美麗島站_出入口9,高捷美麗島站_出入口9,202205,,,TM2
Point (178241.0100999997521285 2503784.12529999855905771),E0000004090,9960103,,高雄捷運美麗島站_出入口11,高捷美麗島站_出入口11,202205,,,TM2
Point (178315.82230000029085204 2504487.65330000082030892),E0000011390,9960103,,高雄捷運高雄車站_R11,高捷高雄車站_R11,202205,高雄市三民區建國二路320號,,TM2
Point (178313.45509999932255596 2504507.38509999867528677),E0000012958,9960103,,高雄捷運高雄車站_出入口2,高捷高車雄站_出入口2,202205,,,TM2
Point (178425.9374999997089617 2505459.64709999924525619),E0000004089,9960103,,高雄捷運後驛(高醫大)站_出入口2,高捷後驛站_出入口2,202205,,,TM2
Point (178375.16909999932977371 2505466.6477000005543232),E0000004088,9960103,,高雄捷運後驛(高醫大)站_出入口1,高捷後驛站_出入口1,202205,,,TM2
Point (178398.31390000015380792 2505520.94289999967440963),E0000005851,9960103,,高雄捷運後驛(高醫大)站_R12,高捷後驛站_R12,202205,高雄市三民區博愛一路220號,,TM2
