路段序號,自行車道路線編號,路段名稱,路段起點描述,路段迄點描述,縣市別,鄉鎮別,管養單位,所屬道路寬度（M）,自行車道車行方向,自行車道類型,自行車道鋪面類別,自行車道長度（M）,自行車道寬度（M）,自行車道道路結構,補助經費（百萬元）,補助機關,完工日期,路徑（X）,路徑（Y）,備註
TP2084,,西園路1段(東側),廣州街,和平西路3段,台北市,,臺北市政府,20,1,5,,140,2,,0,,1021231,"300394.704,300392.264,300394.991","2769786.719,2769791.583,2769927.836",
TP2085,,西寧南路50巷,昆明街,武昌街2段82巷,台北市,,臺北市政府,8,1,5,,50,2,,0,,1021231,"300986.116,301032.471","2770800.767,2770790.417",
TP2086,,西藏路（南側1）,西園路2段,西藏路199巷,台北市,,臺北市政府,30,1,5,,410,2,,0,,1021231,"300024.784,300042.354,300051.938,300061.715,300070.267,300076.899,300092.057,300127.634,300178.457,300203.775,300439.178","2769033.255,2769030.661,2769031.361,2769034.719,2769041.951,2769049.729,2769072.048,2769084.917,2769096.18,2769099.596,2769111.207",
TP2087,,西藏路(南側2),中華路2段,汀州路1段,台北市,,臺北市政府,30,1,5,,319,2,,0,,1021231,"300882.847,301142.465,301166.774,301188.477","2769186.068,2769252.722,2769256.136,2769254.556",
TP2089,,秀明路1段(南側),木柵路3段169巷,木柵路3段,台北市,,臺北市政府,20,1,5,,260,2,,0,,1021231,"307378.191,307476.432,307647.238","2764944.924,2764965.274,2764966.546",
TP2090,,辛亥路(雙側人行道),羅斯福路,新生南路,台北市,,臺北市政府,50,1,5,,1090,2,,0,,1021231,"303926.881,303817.776,303731.261,303671.844,303589.873,303406.672,303444.181,303652.737,303712.291,303757.311,303810.433,303816.589,303828.593,303840.707,303917.916","2768395.013,2768396.244,2768375.966,2768342.945,2768270.625,2768094.675,2768052.287,2768248.386,2768297.911,2768321.903,2768338.727,2768338.751,2768340.349,2768339.733,2768339.483",
TP2091,,辛亥路1段(雙側),羅斯福路3段,汀州路3段,台北市,,臺北市政府,50,1,5,,400,2,,0,,1021231,"303233.995,303386.163,303424.269,303281.772","2767936.27,2768074.103,2768033.933,2767900.9",
TP2092,,辛亥路3段(北側1),基隆路,芳蘭路,台北市,,臺北市政府,50,1,5,,304,2,,0,,1021231,"305205.511,305418.66","2768020.517,2767799.513",
TP2093,,辛亥路3段(南側),芳蘭路,第2殯遺館,台北市,,臺北市政府,50,1,5,,526,2,,0,,1021231,"305397.828,305439.265,305532.798,305681.51,305715.118,305763.415,305821.68","2767734.851,2767721.173,2767653.985,2767545.151,2767521.141,2767483.677,2767427.756",
TP2094,,和平西路1段(北側),重慶南路3段,羅斯福路2段,台北市,,臺北市政府,30,1,5,,650,2,,0,,1021231,"302100.918,302337.249,302381.416,302469.86,302698.639","2768902.111,2768830.35,2768813.683,2768830.637,2768886.126",
TP2095,,和平西路1段(南側),廈門街,羅斯福路2段,台北市,,臺北市政府,30,1,5,,450,2,,0,,1021231,"302275.521,302369.873,302387.752,302562.202,302711.751","2768820.921,2768797.135,2768793.105,2768831.103,2768861.918",
TP2096,,和平西路2段(北側),延平南路,和平西路2段31巷,台北市,,臺北市政府,30,1,5,,700,2,,0,,1021231,"301173.227,301256.376,301768.232","2769419.209,2769340.433,2769048.166",
TP2097,,和平西路3段(北側1),環河南路2段,和平西路3段218巷,台北市,,臺北市政府,30,1,5,,202,2,,0,,1021231,"299911.57,300060.139,300104.865","2769801.671,2769795.458,2769789.973",
TP2098,,和平西路3段(北側2),西園路1段,和平西路3段109巷,台北市,,臺北市政府,30,1,5,,92,2,,0,,1021231,"300393.893,300492.498","2769787.823,2769784.754",
TP2099,,和平西路3段(南側),康定路,和平西路三段88巷,台北市,,臺北市政府,30,1,5,,92,2,,0,,1021231,"300583.524,300681.521","2769757.288,2769755.214",
TP2100,,和平東路1至2段(兩側),羅斯福路2段,復興南路2段,台北市,,臺北市政府,35,1,5,,4180,2,,0,,1021231,"302736.859,303775.186,304831.045,304830.339,304231.516,303771.481,302756.167","2768893.805,2768806.468,2768654.592,2768629.334,2768715.559,2768773.334,2768859.431",
TP2101,,和平東路2段76巷,和平東路2段,辛亥路2段,台北市,,臺北市政府,12,1,5,,231,2,,0,,1021231,"304434.518,304437.987,304444.691,304467.92","2768450.857,2768466.932,2768506.724,2768680.057",
TP2102,,和平東路3段(南側),基隆路,嘉興街,台北市,,臺北市政府,30,1,5,,150,2,,0,,1021231,"305787.236,305834.155,305891.33","2768547.251,2768500.588,2768438.681",
TP2103,,和平東路(兩側),基隆路(北側)&臥龍街(南側),復興南路,台北市,,臺北市政府,35,1,5,,1606,2,,0,,1021231,"305717.373,304863.658#305407.361,305721.403,305722.583,305420.588","2768602.35,2768651.068#2768595.219,2768579.216,2768562.051,2768270.06",
TP2104,,延平南路(東側1),寶慶路,貴陽街1段,台北市,,臺北市政府,12,1,5,,281,2,,0,,1021231,"301339.706,301411.724","2770207.495,2770484.462",
TP2105,,延平南路(東側2),中華路1段85巷,延平南路133巷,台北市,,臺北市政府,12,1,5,,31,2,,0,,1021231,"301309.543,301316.187","2770070.585,2770101.846",
TP2106,,忠孝西路(兩側),延平北路,重慶北路,台北市,,臺北市政府,40,1,5,,367,2,,0,,1021231,"301613.61,301679.887,301774.639#301776.433,301623.098,301596.084","2771214.402,2771165.693,2771138.582#2771091.291,2771133.688,2771126.054",
TP2107,,忠孝西路2段(北側),西寧北路,環河北路,台北市,,臺北市政府,45,1,5,,135,2,,0,,1021231,"301090.851,301219.831","2771315.006,2771281.594",
TP2108,,忠孝東路1至4段(兩側),中山北路,基隆路1段,台北市,,臺北市政府,40,1,5,,9110,2,,0,,1021231,"302455.258,303098.402,303761.098,303978.772,304157.517,304427.105,304682.708,305004.326,305771.086,306945.203,306937.245,304459.687,304298.845,304171.572,303843.315,303647.66,303550.981,303455.298,302443.988","2770951.436,2770778.798,2770591.204,2770562.82,2770528.746,2770514.532,2770515.331,2770511.195,2770501.012,2770471.962,2770444.459,2770492.287,2770489.874,2770496.236,2770546.334,2770595.299,2770623.055,2770654.027,2770916.944",
TP2109,,忠孝東路6段,昆陽街,永吉路,台北市,,臺北市政府,30,1,5,,1290,2,,0,,1021231,"308791.299,308920.234,308962.018,309008.067,309060.684,309118.654,309180.499,309260.723,309494.858,309927.248","2770935.262,2771128.223,2771173.043,2771211.456,2771247.684,2771282.827,2771308.239,2771330.519,2771392.128,2771504.344",
TP2110,,忠孝東路6段(東南側),東新街,玉成街,台北市,,臺北市政府,30,1,5,,370,2,,0,,1021231,"308809.829,308907.187,308936.163,308973.414,309004.872,309038.651","2770920.278,2771064.918,2771108.242,2771151.049,2771180.206,2771209.263",
TP2111,,忠孝東路7段(南北側),向陽路,捷運南港站,台北市,,臺北市政府,30,1,5,,2000,2,,0,,1021231,"310107.769,311214.161,311215.568,310114.423","2771549.334,2771688.834,2771667.573,2771527.764",
TP2112,,忠孝東路7段人行道,捷運南港站,忠孝東路7段527巷,台北市,,臺北市政府,30,1,5,,700,2,,0,,1021231,"311215.856,311802.35","2771693.383,2771772.456",
TP2113,,忠誠路(兩側),中山北路,天母東西路,台北市,,臺北市政府,40,1,5,,3760,2,,0,,1021231,"302943.842,303073.086,303174.14,303290.551,303395.823,303450.28,303474.48,303502.447,303530.28,303562.804,303764.28,303873.517,303891.538,303900.776,303934.364,303911.691,303741,303561.746,303500.046,303478.8,303431.457,303294.173,303114.261,302951.545","2777423.589,2777438.381,2777465.913,2777538.146,2777672.698,2777802.732,2777932.648,2778155.845,2778310.587,2778374.849,2778662.533,2778836.539,2778895.429,2778956.499,2778954.97,2778848.653,2778581.691,2778310.489,2777919.899,2777782.684,2777664.752,2777488.757,2777406.086,2777388.062",
TP2114,,承德路2至3段(東西側),承德橋,南京西路,台北市,,臺北市政府,40,1,5,,5230,2,,0,,1021231,"302494.674,302458.438,302430.96,302298.231,302269.006,302268.338,302272.853,302267.584,302224.696,302251.261,302298.086,302293.245,302299.831,302305.081,302319.918,302347.183,302444.548,302532.618","2774344.833,2774245.003,2774123.717,2773851.827,2772842.957,2772385.153,2772312.729,2771949.614,2771793.046,2771785.616,2771941.645,2772099.248,2772276.39,2772775.527,2773773.93,2773898.538,2774079.352,2774341.656",
TP2115,,承德路4段179巷南側人行道,基河路,承德路,台北市,,臺北市政府,12,1,5,,150,2,,0,,1021231,"302720.523,302839.9","2775551.189,2775617.779",
TP2116,,承德路4段195巷兩側人行道,基河路,承德路,台北市,,臺北市政府,20,1,5,,300,2,,0,,1021231,"302781.567,302663.125,302667.594,302786.438","2775729.539,2775656.196,2775648.238,2775722.026",
TP2117,,承德路4段東側人行道,劍潭路,承德路4段195巷,台北市,,臺北市政府,40,1,5,,400,2,,0,,1021231,"302667.702,302739.399,302777.437,302800.981,302824.718","2775646.245,2775521.908,2775441.416,2775352.783,2775214.637",
TP2118,,承德路5段(東西側),士商路,中正路,台北市,,臺北市政府,35,1,5,,1164,2,,0,,1021231,"301875.994,302053.261#301813.269,302007.737","2776511.184,2775997.455#2776507.733,2776005.921",
TP2119,,承德路7段(東側),石牌路,大度路,台北市,,臺北市政府,40,1,5,,1430,2,,0,,1021231,"300448.136,301351.809","2779262.829,2778353.703",
TP2120,,昆明街(東西側),忠孝西路2段,洛陽街,台北市,,臺北市政府,12,1,5,,196.71,2,,0,,1021231,"301072.383,301093.234,301103.536,301083.292","2771180.909,2771271.373,2771268.753,2771177.737",
TP2121,,明水路(北側),北安路,大直橋,台北市,,臺北市政府,30,1,5,,516,2,,0,,1021231,"304385.96,304888.223","2774508.316,2774488.729",
TP2122,,明水路(東側),明水路672巷,樂群一路,台北市,,臺北市政府,30,1,5,,772,2,,0,,1021231,"305579.347,305706.858,305720.83,305729.428,305725.188,305712.12,305701.079,305677.043,305606.496","2775160.014,2774739.394,2774702.455,2774672.028,2774623.273,2774587.331,2774548.849,2774506.105,2774464.169",
TP2123,,杭州南路1段(西側),青島東路,徐州路,台北市,,臺北市政府,15,1,5,,293,2,,0,,1021231,"303041.685,303118.599","2770338.943,2770619.151",
TP2124,,杭州南路2段(西側),金華街,信義路1段,台北市,,臺北市政府,25,1,5,,507,2,,0,,1021231,"302703.27,302725.328,302712.095,302755.9,302878.976","2769307.944,2769449.7,2769479.223,2769555.822,2769801.757",
TP2125,,東園街東側及東園街35巷北側,西藏路,東園街67巷,台北市,,臺北市政府,12,1,5,,310,2,,0,,1021231,"299993.575,300005.217,300031.674,300188.309,300217.294,300233.775","2768984.736,2768974.81,2768915.425,2768886.535,2768880.993,2768872.746",
TP2126,,東新街(西側),八德路4段,市民大道7段,台北市,,臺北市政府,17,1,5,,236,2,,0,,1021231,"308754.963,308880.208","2771593.956,2771424.466",
TP2127,,松江路(東西側),農安街,錦州街,台北市,,臺北市政府,40,1,5,,987,2,,0,,1021231,"303783.996,303777.718,303809.399,303810.553","2773052.103,2772571.458,2772571.361,2773046.337",
TP2128,,松江路人行道,錦州街,市民大道,台北市,,臺北市政府,40,1,5,,3281,2,,0,,1021231,"303779.982,303760.481,303758.215,303791.241,303797.974,303805.297,303814.599","2772560.168,2771747.612,2770939.223,2770931.821,2771758.172,2772281.134,2772557.646",
TP2129,,松智路(東側1),松平路,松勤街,台北市,,臺北市政府,15,1,5,,182,2,,0,,1021231,"307058.468,307060.043","2769277.804,2769432.332",
TP2130,,松智路(東側),松勤街,松智路29巷,台北市,,臺北市政府,15,1,5,,43,2,,0,,1021231,"307059.435,307060.034","2769384.589,2769434.437",
TP2131,,林森北路(西側),北平東路,忠孝東路1段,台北市,,臺北市政府,20,1,5,,157,2,,0,,1021231,"302805.866,302845.351","2770858.081,2771006.773",
TP2132,,林森北路(東側),市民大道,北平東路,台北市,,臺北市政府,20,1,5,,142,2,,0,,1021231,"302859.343,302894.017","2771015.467,2771155.5",
TP2133,,林森南路(西側),濟南路1段,信義路1段,台北市,,臺北市政府,20,1,5,,600,2,,0,,1021231,"302576.35,302725.73","2770006.616,2770574.54",
TP2134,,社中街,延平北路6段,延平北路6段258巷,台北市,,臺北市政府,12,1,5,,229,2,,0,,1021231,"300572.68,300637.81,300680.41,300719.778","2775894.958,2775985.032,2776030.162,2776049.472",
TP2135,,臥龍街(兩側),辛亥路3段157巷,基隆路3段,台北市,,臺北市政府,15,1,5,,237,2,,0,,1021231,"305252.905,305277.041,305290.703,305299.019,305302.32,305310.356,305326.156,305349.536,305387.804","2767556.594,2767603.103,2767644.142,2767659.351,2767666.786,2767676.123,2767687.706,2767696.552,2767742.564",
TP2136,,芳蘭路西側人行道,辛亥路,長興街,台北市,,臺北市政府,15,1,5,,235,2,,0,,1021231,"305252.905,305277.041,305290.703,305299.019,305302.32,305310.356,305326.156,305349.536,305387.804","2767556.594,2767603.103,2767644.142,2767659.351,2767666.786,2767676.123,2767687.706,2767696.552,2767742.564",
TP2137,,金山南路1段(兩側),仁愛路2段,信義路2段,台北市,,臺北市政府,30,1,5,,916.79,2,,0,,1021231,"303222.913,303262.805,303324.152,303293.263,303199.067","2769667.735,2769867.05,2770102.005,2770104.653,2769675.174",
TP2138,,金山南路2段(兩側),愛國東路,和平東路1段,台北市,,臺北市政府,30,1,5,,1000,2,,0,,1021231,"303089.68,303175.391,303155.597,303066.447","2768842.446,2769379.999,2769383.466,2768847.673",
TP2139,,金湖路363巷(南側),金湖路,民權東6段191巷,台北市,,臺北市政府,12,1,5,,360,2,,0,,1021231,"310479.658,310810.639","2773994.647,2774045.633",
TP2140,,金華街(北側),愛國東路116巷,杭州南路2段,台北市,,臺北市政府,12,1,5,,130,2,,0,,1021231,"302577.176,302695.985","2769372.367,2769312.679",
TP2141,,金華街(南側),羅斯福路1段,寧波東街,台北市,,臺北市政府,12,1,5,,88.88,2,,0,,1021231,"302352.266,302431.74","2769467.982,2769428.189",
TP2142,,長沙街(北側),桃源街,博愛路,台北市,,臺北市政府,15,1,5,,90,2,,0,,1021231,"301500.616,301588.857","2770326.511,2770314.549",
TP2143,,長沙街1段 (雙側),延平南路,桃源街,台北市,,臺北市政府,15,1,5,,184,2,,0,,1021231,"301498.7,301582.801,301587.345,301586.463,301497.314","2770326.06,2770314.969,2770314.1,2770307.118,2770318.966",
TP2144,,雨農路西側人行道,福志路,中正路,台北市,,臺北市政府,25,1,5,,190,2,,0,,1021231,"303685.374,303661.317","2776779.716,2776587.993",
TP2145,,雨聲街,雨聲街,至誠路2段,台北市,,臺北市政府,20,1,5,,1010,2,,0,,1021231,"303818.829,303817.088,303792.615,303747.759,303697.344,303620.442,303535.48,303452.207,303351.73,303322.622,303306.587,303310.64,303316.899,303340.143,303413.874","2777108.449,2777319.345,2777387.038,2777431.39,2777453.123,2777465.448,2777475.193,2777466.005,2777420.085,2777384.082,2777331.958,2777301.513,2777274.399,2777211.02,2777030.425",
TP2146,,青田街 (東側),金華街,永康街75巷,台北市,,臺北市政府,15,1,5,,105,2,,0,,1021231,"303649.202,303683.712","2769200.415,2769098.866",
TP2147,,青年公園周邊之國興路及青年路,青年路及國興路,水源路,台北市,,臺北市政府,15,1,5,,1380,2,,0,,1021231,"300868.397,300720.818,300749.941,300814.792,300906.084,301101.532,301266.163,301312.507,301319.927","2768106.041,2768221.133,2768586.77,2768652.585,2768691.361,2768756.224,2768587.811,2768501.808,2768407.02",
TP2148,,青島東路(南側1),中山南路,鎮江街,台北市,,臺北市政府,15,1,5,,197,2,,0,,1021231,"302411.959,302597.3","2770796.196,2770750.607",
TP2149,,青島東路(南側2),林森南路,杭州南路1段,台北市,,臺北市政府,15,1,5,,350,2,,0,,1021231,"302777.198,303115.291","2770704.004,2770613.71",
TP2150,,前港街(北側),華齡街(福港街),後港街(華齡街),台北市,,臺北市政府,15,1,5,,343,2,,0,,1021231,"302221.476,302388.975,302588.254","2775322.194,2775309.766,2775270.214",
TP2151,,南京東路6段(北側),舊宗路,成功路,台北市,,臺北市政府,25,1,5,,1030,2,,0,,1021231,"308673.097,309562.804","2772258.989,2772770.938",
TP2152,,南昌路1段(兩側),重慶南路2段7巷,南海路,台北市,,臺北市政府,15,1,5,,508,2,,0,,1021231,"302106.925,301965.574,301957.21,302099.875","2769470.699,2769673.972,2769670.617,2769466.906",
TP2153,,南昌路2段,南昌路2段42巷,和平西路1段,台北市,,臺北市政府,15,1,5,,100,2,,0,,1021231,"302493.312,302574.314","2768925.987,2768857.069",
TP2154,,南海路(北側),和平西路2段,羅斯福路1段,台北市,,臺北市政府,20,1,5,,900,2,,0,,1021231,"301396.337,301500.556,301611.343,301830.803,302265.285","2769263.422,2769298.152,2769330.803,2769393.995,2769518.158",
TP2155,,南海路北側 人行道,三元街,國興路,台北市,,臺北市政府,20,1,5,,430,2,,0,,1021231,"301116.097,301243.219,301346.456","2768774.555,2768946.83,2769136.185",
TP2156,,南港路2段(南北側),向陽路,南港路2段178巷,台北市,,臺北市政府,20,1,5,,920,2,,0,,1021231,"310505.818,310183.509,310064.083,310066.97,310178.42,310287.024,310397.847,310508.7","2771826.353,2771924.287,2771937.94,2771946.814,2771934.234,2771903.698,2771873.283,2771836.335",
TP2157,,南港路3段(南北側),東新街,向陽路,台北市,,臺北市政府,20,1,5,,2421.01,2,,0,,1021231,"308802.951,309053.576,309082.479,309112.603,309142.125,309171.562,309204.046,309237.865,309303.353,309401.696,309444.13,309491.286,309657.374,309710.971,309764.688,309851.675,309901.167,309945.55,309951.928,309950.939,309873.178,309723.509,309645.63,309501.813,309405.581,309352.53,309255.265,309207.729,309187.642,309167.573,309125.344,309011.537,308807.018","2771627.06,2771747.883,2771760.857,2771771.4,2771781.164,2771787.163,2771788.633,2771784.903,2771784.19,2771792.593,2771802.968,2771818.238,2771886.532,2771905.486,2771920.01,2771940.551,2771952.067,2771955.031,2771950.296,2771945.639,2771938.098,2771899.449,2771872.524,2771810.641,2771780.979,2771775.431,2771774.344,2771777.018,2771778.814,2771776.401,2771765.03,2771716.021,2771619.878",
TP2158,,建國北路1至3段(東西側),民族東路,市民大道,台北市,,臺北市政府,40,1,5,,5480,2,,0,,1021231,"304175.354,304198.312,304205.123,304200.9,304184.179,304139.421,303830.168,303788.856,303962.444,304006.704,304080.307,304121.76,304152.502,304131.952","2770865.55,2772707.704,2772898.252,2773021.519,2773090.793,2773157.741,2773444.845,2773405.914,2773263.377,2773220.131,2773155.623,2773108.158,2773039.271,2770868.59",
TP2159,,建國南路(兩側),信義路,仁愛路,台北市,,臺北市政府,40,1,5,,812.41,2,,0,,1021231,"304232.435,304226.556,304241.611#304329.82,304330.496,304313.519,304309.834","2770035.132,2769863.863,2769630.314#2770034.411,2769864.276,2769794.203,2769629.478",
TP2160,,思源街(東側),水源路,汀州路,台北市,,臺北市政府,20,1,5,,500,2,,0,,1021231,"303324.048,303497.158,303520.933,303608.456,303632.733,303701.774","2767205.339,2767384.238,2767395.63,2767469.3,2767481.69,2767557.947",
TP2161,,泉州街(西側),南海路,寧波西街,台北市,,臺北市政府,15,1,5,,232,2,,0,,1021231,"301830.555,301888.039","2769379.484,2769150.637",
TP2162,,重陽路(北側),57巷,三重路,台北市,,臺北市政府,20,1,5,,330.42,2,,0,,1021231,"311618.535,311730.101,311837.168","2772503.476,2772620.731,2772750.926",
TP2163,,重陽路興華路口,興華路,興中路86巷,台北市,,臺北市政府,20,1,5,,27,2,,0,,1021231,"311085.906,311110.299","2772321.636,2772327.062",
TP2164,,重慶北路1至3段,敦煌路,市民大道,台北市,,臺北市政府,40,1,5,,2950,2,,0,,1021231,"301813.332,301908.032,301844.407,301834.426,301837.46,301854.021","2771365.69,2771803.137,2772163.553,2772533.588,2772903.562,2774332.634",
TP2165,,重慶北路4段,中正路,重慶北路4段１巷,台北市,,臺北市政府,40,1,5,,821,2,,0,,1021231,"301506.744,301540.962,301568.814,301628.8,301742.186,301765.907,301774.606,301770.183","2775438.882,2775379.64,2775296.78,2775146.031,2774853.149,2774796.194,2774763.439,2774732.74",
TP2166,,重慶南路(東西側),和平西路,愛國西路,台北市,,臺北市政府,20,1,5,,1874,2,,0,,1021231,"302082.555,302071.4,302053.887,302014.338,301927.954,301730.631#301703.626,301892.203,301981.886,302053.181","2768900.933,2768968.015,2769034.962,2769164.519,2769402.672,2769756.709#2769745.863,2769409.514,2769179.46,2768928.845",
TP2167,,重慶南路1段(西側),寶慶路,重慶南路1段118巷,台北市,,臺北市政府,20,1,5,,70,2,,0,,1021231,"301764.28,301770.371","2770437.388,2770507.527",
TP2168,,庫倫街,大龍街,承德路3段,台北市,,臺北市政府,15,1,5,,256,2,,0,,1021231,"302048.434,302306.93","2773853.309,2773845.99",
TP2169,,徐州路(兩側1),林森南路,杭州南路1段,台北市,,臺北市政府,15,1,5,,706,2,,0,,1021231,"302704.11,303046.544,303044.158,302701.424","2770424.256,2770334.864,2770325.772,2770414.277",
TP2170,,徐州路(南側2),中山南路,林森南路,台北市,,臺北市政府,15,1,5,,372,2,,0,,1021231,"302337.28,302688.403","2770508.469,2770415.113",
TP2171,,格致路,菁山路,愛富三街,台北市,,臺北市政府,12,1,5,,190,2,,0,,1021231,"305078.046,305075.697,305079.81,305089.907,305095.773,305101.316,305103.634,305102.624","2781354.593,2781337.082,2781317.381,2781289.066,2781259.736,2781210.687,2781186.106,2781161.622",
TP2172,,桂林路(北側),昆明街,桂林路57巷,台北市,,臺北市政府,20,1,5,,80,2,,0,,1021231,"300758.137,300838.013","2770102.531,2770087.985",
TP2173,,桂林路(南側),康定路,昆明街,台北市,,臺北市政府,20,1,5,,184,2,,0,,1021231,"300639.018,300838.96","2770113.94,2770077.466",
TP2174,,桂林路北側人行道,環河南路2段,西昌街,台北市,,臺北市政府,20,1,5,,320,2,,0,,1021231,"300178.247,300209.955,300243.762,300510.088","2770142.369,2770136.504,2770136.185,2770131.186",
TP2175,,桃源街兩側人行道,寶慶路,貴陽街,台北市,,臺北市政府,12,1,5,,482,2,,0,,1021231,"301482.527,301483.222,301503.414#301512.496,301488.471","2770199.282,2770202.497,2770440.722#2770440.645,2770201.963",
TP2176,,酒泉街,環河北路2段,大龍街,台北市,,臺北市政府,15,1,5,,668,2,,0,,1021231,"301377.42,302037.651","2773860.402,2773850.055",
TP2177,,健康路 (北側),光復北路,塔悠路,台北市,,臺北市政府,25,1,5,,1300,2,,0,,1021231,"306169.811,306821.29,307472.764","2771843.712,2771901.238,2771958.906",
TP2178,,健康路 (南側),光復北路,塔悠路,台北市,,臺北市政府,25,1,5,,1310,2,,0,,1021231,"306176.393,307462.13","2771813.499,2771896.388",
TP2179,,基河路300巷兩側人行道,基河路,士商路,台北市,,臺北市政府,20,1,5,,300,2,,0,,1021231,"302265.732,302386.525#302377.534,302263.492","2776197.317,2776288.168#2776291.899,2776202.847",
TP2180,,基河路西側人行道,文林路,基河路300巷,台北市,,臺北市政府,20,1,5,,1040,2,,0,,1021231,"302390.358,302446.909,302499.148,302611.26,302665.103,302756.824,302798.364,302952.22","2776288.182,2776218.838,2776143.052,2775973.899,2775901.111,2775763.228,2775689.95,2775397.566",
TP2181,,基隆路,長興街,汀州路4段,台北市,,臺北市政府,40,1,5,,1000,2,,0,,1021231,"304130.115,304199.055,304267.892,304923.256","2767102.501,2767127.807,2767178.922,2767808.812",
TP2182,,基隆路1段172巷,忠孝東路4段559巷,基隆路1段,台北市,,臺北市政府,15,1,5,,170,2,,0,,1021231,"306880.431,307000.118,307046.234","2770687.025,2770684.865,2770660.8",
TP2183,,基隆路2段(兩側),信義路4段,和平東路3段,台北市,,臺北市政府,40,1,5,,2280,2,,0,,1021231,"305797.705,305992.903,306090.408,306141.372,306188.43,306227.774,306309.79,306469.413#306445.623,306273.794,306156.618,306144.806,305788.924","2768603.342,2768797.983,2768893.2,2768942.922,2769009.576,2769087.053,2769241.912,2769542.972#2769536.339,2769209.419,2768990.393,2768966.64,2768628.118",
TP2184,,基隆路4段155巷 (南側),基隆路,芳蘭路,台北市,,臺北市政府,15,1,5,,400,2,,0,,1021231,"304767.612,305010.406","2767609.583,2767270.17",
TP2185,,基隆路二至3段(兩側),和平東路3段,辛亥路3段,台北市,,臺北市政府,40,1,5,,1030,2,,0,,1021231,"305162.974,305737.879#305348.392,305185.509","2767981.799,2768548.268#2768203.528,2768050.011",
TP2186,,康定路,桂林路,老松國小側門,台北市,,臺北市政府,15,1,5,,120,2,,0,,1021231,"300635.792,300616.16","2770112.821,2769991.569",
TP2187,,康定路(東側),成都路,內江路,台北市,,臺北市政府,15,1,5,,204,2,,0,,1021231,"300686.343,300716.504","2770495.264,2770688.664",
TP2188,,康寧路3段,99巷,165巷,台北市,,臺北市政府,25,1,5,,130,2,,0,,1021231,"311562.957,311674.337","2773819.051,2773729.72",
TP2189,,康寧路3段(西側),東湖路,安康路,台北市,,臺北市政府,25,1,5,,395,2,,0,,1021231,"311745.401,311735.987,311711.405,311648.785,311632.859,311624.011","2773542.842,2773482.984,2773430.59,2773311.784,2773263.638,2773212.312",
TP2190,,康寧路3段(東側),安康路,潭美街,台北市,,臺北市政府,25,1,5,,250,2,,0,,1021231,"311644.607,311638.581,311643.46,311663.478,311671.259,311686.695","2773209.193,2773158.544,2773105.84,2773052.097,2773026.876,2773004.903",
TP2191,,康樂街(東側),151巷,125巷,台北市,,臺北市政府,12,1,5,,150,2,,0,,1021231,"312490.507,312472.364","2774041.374,2773883.666",
TP2192,,捷運淡水線之線型公園,民生西路(雙連站),市民大道,台北市,,臺北市政府,15,1,5,,1050,2,,0,,1021231,"302522.22,302499.188,302489.133,302457.266,302404.006,302342.017","2772246.894,2771624.515,2771510.386,2771400.382,2771317.324,2771247.082",
TP2193,,紹興南街,濟南路1段,杭州南路1段14巷,台北市,,臺北市政府,15,1,5,,240,2,,0,,1021231,"302907.737,302851.321","2770531.159,2770298.329",
TP2194,,紹興南街(東側),仁愛路2段,信義路2段,台北市,,臺北市政府,15,1,5,,230,2,,0,,1021231,"302816.265,302764.034","2770125.951,2769906.098",
TP2195,,紹興南街東側人行道,徐州路,杭州南路1段14巷,台北市,,臺北市政府,15,1,5,,72,2,,0,,1021231,"302879.709,302861.027","2770368.444,2770293.493",
TP2196,,莒光路(南側),莒光路299巷,萬大路,台北市,,臺北市政府,25,1,5,,125,2,,0,,1021231,"300375.681,300503.026","2769307.916,2769311.819",
TP2197,,莒光路299巷(西側),莒光路,西藏路,台北市,,臺北市政府,15,1,5,,170,2,,0,,1021231,"300368.122,300374.107","2769305.34,2769132.566",
TP2198,,凱達格蘭大道兩側人行道,重慶南路,中山北路,台北市,,臺北市政府,40,1,5,,870,2,,0,,1021231,"301771.977,301920.99,301994.599,302187.544#301783.174,302015.497,302199.767","2770270.27,2770252.448,2770240.876,2770187.779#2770324.588,2770291.576,2770237.339",
TP2199,,博愛路(西側),長沙街1段,貴陽街1段,台北市,,臺北市政府,15,1,5,,120,2,,0,,1021231,"301589.396,301577.426","2770305.357,2770188.453",
TP2200,,博愛路(兩側),寶慶路,重慶南路1段118巷,台北市,,臺北市政府,15,1,5,,93,2,,0,,1021231,"301619.726,301615.278#301601.345,301605.83","2770504.077,2770452.775#2770454.827,2770496.27",
TP2201,,博愛路(東側),忠孝西路1段,開封街1段,台北市,,臺北市政府,15,1,5,,210,2,,0,,1021231,"301600.565,301591.314,301585.551,301587.52,301595.871,301601.811,301614.815,301622.38,301639.042,301653.082","2770981.742,2771053.373,2771109.621,2771122.588,2771129.155,2771132.611,2771135.872,2771136.787,2771133.527,2771129.703",
TP2202,,博愛路東側人行道,寶慶路,貴陽街1段,台北市,,臺北市政府,15,1,5,,221,2,,0,,1021231,"301590.445,301613.357","2770187.948,2770427.07",
